"X","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery"
14014,"US","This Rhône-style red blend is light bodied and fruit forward, with slight spice nuances to add interest. Cranberry, pink peppercorns and anise show good balance and concentration on the nose and palate.","Les Copains",88,13,"Texas","Texas","","Alexander Peartree","","McPherson 2014 Les Copains Red (Texas)","Rhône-style Red Blend","McPherson"
14015,"US","It's not often you find a varietal Piquepoul Blanc outside of the south of France, but this seems to suit well to the hot Texan climate. Striking notes of ripe peach, apricot and white lily carry the nose and palate. There's good tension and texture in this light- to medium-bodied wine, which would lend well to pairing alongside grilled seafood.","Timmons Ranch",88,13,"Texas","Texas","","Alexander Peartree","","McPherson 2015 Timmons Ranch Piquepoul Blanc (Texas)","Piquepoul Blanc","McPherson"
23517,"US","The bright, lively nose of citrus spray, white peach, red apple and gooseberry carries through to the light-bodied palate. Tart green-apple tones keep the flavors spritely in this easy, enjoyable white.","Bingham Family Vineyard",86,16,"Texas","Texas","","Alexander Peartree","","Duchman Family 2014 Bingham Family Vineyard Trebbiano (Texas)","Trebbiano","Duchman Family"
23529,"US","Crushed blueberry aromas meet resinous herb and green peppercorn notes. The medium-bodied palate is round, with mild flavors of tart blackberry and cherry leading to a lightly-toasted vanilla finish.","Artist Series",86,20,"Texas","Texas","","Alexander Peartree","","Messina Hof 2013 Artist Series Mourvèdre (Texas)","Mourvèdre","Messina Hof"
23544,"US","Citrus and sea spray aromas are restrained on the nose. The ample body carries flavors of mealy melon muddled with lemon rinds, which carries to the burnt-sugar finish.","Vintner's Reserve",85,44,"Texas","Texas High Plains","","Alexander Peartree","","Arché 2012 Vintner's Reserve Roussanne (Texas High Plains)","Roussanne","Arché"
24049,"US","Fresh and flowery, with a seductive aromatic profile of gardenia, freesia and honeysuckle that lead to a very likeable, berryish palate. Light-bodied and off-dry, this is a good choice to serve on its own before a meal. Drink now to 2011.","Father and Son Cuvee",85,8,"Texas","Texas","","","","Messina Hof 2009 Father and Son Cuvee Riesling (Texas)","Riesling","Messina Hof"
24072,"US","This wine has a very direct appeal, with blueberry and boysenberry fruit, shot through with notes of earth and mushroom. The palate is juicy, smooth and reasonably crisp. Medium finish shows notes of forest floor and no tannin. Try with tuna in a bold sauce.","Private Reserve Double Barrel",85,22,"Texas","Texas","","","","Messina Hof 2006 Private Reserve Double Barrel Shiraz (Texas)","Shiraz","Messina Hof"
25920,"US","Canned peach, banana and lilting white-flower aromas show some good concentration on the nose. The palate is playful and textured, with a pop of tropical fruit on the entry and more florals on the midpalate. A peach-fuzz texture tingles on the close.","",87,18,"Texas","Texas High Plains","","Alexander Peartree","","Spicewood 2014 Viognier (Texas High Plains)","Viognier","Spicewood"
27204,"US","Fresh strawberries laced with geraniums and talcum powder mark the aromas of this Aglianico-Montepulciano blend. Tart red-currant and herbal bramble-berry flavors show bitter undertones, with gritty tannins giving support to the medium-bodied palate.","Progression",83,42,"Texas","Texas","","Alexander Peartree","","Duchman Family NV Progression Red (Texas)","Red Blend","Duchman Family"
27223,"US","Red currant and cherry aromas meet an odd tone of coconut sunscreen on the nose. Tart red berries mark the medium-bodied palate, with mild tannins and acidity leading to a short toasted-vanilla finish.","Salt Lick Vineyards",83,40,"Texas","Texas","","Alexander Peartree","","Fall Creek 2013 Salt Lick Vineyards G-S-M (Texas)","G-S-M","Fall Creek"
36314,"US","Cinsault dominant, with Grenache and Rolle (or Vermentino), this is an enjoyable sipper of tart cherry and strawberry, with a delicate blossom note lingering underneath. Pair this with a some relaxation on a porch on a hot summer day.","Les Copains Dry",87,13,"Texas","Texas","","Alexander Peartree","","McPherson 2015 Les Copains Dry Rosé (Texas)","Rosé","McPherson"
37970,"US","This fortified wine made from Blanc du Bois recalls roasted mixed nuts and dried leaves on the nose. The full palate brings a dried fig tone, with sharp acidity and an astringent nut accent.","Madeira",84,40,"Texas","Texas","","Alexander Peartree","","Haak 2013 Madeira Blanc du Bois (Texas)","Blanc du Bois","Haak"
38720,"US","Unabashedly bold, this Texas rosé hits the nose with a dose of lilac and rose perfume that lingers a bit obtrusively onto the palate. Off-dry in style, it's chunky on the palate, but finishes nicely, with a hint of tart red-plum flavors. Drink now.","Sophia Marie Sweet Beginnings",83,14,"Texas","Texas","","Anna Lee C. Iijima","","Messina Hof 2010 Sophia Marie Sweet Beginnings Rosé (Texas)","Rosé","Messina Hof"
41461,"US","This is an approachable blend of Aglianico, Cabernet Sauvignon, Malbec, Mourvédre, Petite Sirah and Tempranillo, melding ripe dark cherry, vanilla and cedar on the nose and palate. A plush and soft texture makes this wine perfect for everyday consumption, especially when barbecue is involved.","Estate Cuvée",86,50,"Texas","Texas","","Alexander Peartree","","Bending Branch 2012 Estate Cuvée Red (Texas)","Red Blend","Bending Branch"
41471,"US","A pop of peach and candied banana emerge from the glass. There's a nice roundness to the palate that's held in check by a lively stream of acidity, with additional notes of banana and a hint of butter.","Comfortage Hoover Valley Vineyard",86,28,"Texas","","","Alexander Peartree","","Bending Branch 2015 Comfortage Hoover Valley Vineyard Roussanne","Roussanne","Bending Branch"
42322,"US","A pop of peach and candied banana emerge from the glass. There's a nice roundness to the palate that's held in check by a lively stream of acidity, with additional notes of banana and a hint of butter.","Comfortage Hoover Valley Vineyard",86,28,"Texas","","","Alexander Peartree","","Bending Branch 2015 Comfortage Hoover Valley Vineyard Roussanne","Roussanne","Bending Branch"
43604,"US","Soft, approachable and easily structured, this Sangiovese and Montepulciano blend brings forth cherry bubble-gum flavors in a completely gulpable way.","Texican",84,23,"Texas","Texas High Plains","","Alexander Peartree","","Los Pinos Ranch 2015 Texican Red (Texas High Plains)","Red Blend","Los Pinos Ranch"
43606,"US","Raspberry Jell-O and strawberries-and-cream aromas appear on the nose. The medium-bodied palate is slightly flabby in feel, with bramble berries meeting a delicate black pepper note.","Dry",84,30,"Texas","Texas","","Alexander Peartree","","Pedernales 2015 Dry Rosé (Texas)","Rosé","Pedernales"
43622,"US","This GSM blend is oak-forward, with charred black and red berries meeting dark coffee on the nose and palate. Medium bodied with a mild tannic grip, enjoy alongside a coffee-rubbed rib eye.","",84,26,"Texas","Texas","","Alexander Peartree","","Pedernales 2014 G-S-M (Texas)","G-S-M","Pedernales"
43627,"US","This Rhône-style blend of a rosé is a light, enjoyable sipper of tart red berries, bubble gum and sharp citrus.","Signature",84,11,"Texas","Texas","","Alexander Peartree","","Llano Estacado 2015 Signature Rosé (Texas)","Rosé","Llano Estacado"
54003,"US","Canned fruit—both peach and pineapple—show good depth against a slightly smoky backdrop. Round and silky on the palate, there's a balance of acid to give brightness.","Castaño Prado Vineyards",87,13,"Texas","Texas","","Alexander Peartree","","McPherson 2015 Castaño Prado Vineyards Albariño (Texas)","Albariño","McPherson"
54239,"US","Fresh and vibrant, this Cinsault bottling is completely oak-free, which means that the juicy, fruit-forward nature of the varietal is front and center. Ultraripe blueberry and raspberry notes mingle with specks of black pepper on the soft and mildly grippy palate. The is light bodied and easily quaffable.","",86,30,"Texas","Texas","","Alexander Peartree","","McPherson 2014 Cinsault (Texas)","Cinsault","McPherson"
54801,"US","Serious and solid, this Cab Franc delivers the goods with a complex nose of vanilla, coconut and orange clove pomanders layered over coffee and bittersweet chocolate. There's nice fruit in the mouth, with plum and blackberry shot through with notes of cinnamon. Medium, oaky finish. Serve with roast beef. Best 2011–2012.","Double Barrel",87,14,"Texas","Texas","","","","Messina Hof 2007 Double Barrel Cabernet Franc (Texas)","Cabernet Franc","Messina Hof"
55292,"US","Richly tawny in color, this fortified wine from the Jacquez grape is savory on the nose, showing cured meat flecked with anise. The full palate brings dried figs, dates and molasses into the mix, with toasted coffee on the finish.","Thomas Jefferson Series Madeira",86,23,"Texas","Texas","","Alexander Peartree","","Haak 2010 Thomas Jefferson Series Madeira Jacquez (Texas)","Jacquez","Haak"
55293,"US","Bing cherry meets soft vanilla and coffee tones on the nose of this southern-Italian transplant. A bouncy palate of red cherry and strawberry is supported by mild tannins.","Super Nero",86,30,"Texas","Texas","","Alexander Peartree","","Brennan 2012 Super Nero Nero d'Avola (Texas)","Nero d'Avola","Brennan"
55299,"US","Round black-cherry and herbal-blueberry aromas carry through to the medium-bodied palate. With enough tannic structure to support the ripe, full black-fruit tones, this wine is an easy call for all things grilled.","Oswald Vineyard",86,30,"Texas","Texas","","Alexander Peartree","","Duchman Family 2012 Oswald Vineyard Montepulciano (Texas)","Montepulciano","Duchman Family"
55300,"US","Smoky and savory on the nose, stewed blueberries mix with sweet barbecue sauce aromas. The palate shows fresher black fruit supported by grainy tannins.","Salt Lick Vineyards",86,30,"Texas","Texas","","Alexander Peartree","","Fall Creek 2012 Salt Lick Vineyards Tempranillo (Texas)","Tempranillo","Fall Creek"
55381,"US","A bit of skin contact gives this Viognier some extra character and texture. Quite aromatic on the nose, peach and pineapple juice aromas are shot through with pink peppercorns and grapefruit spray. The rich palate shows good acidic verve, however it feels slightly hot. Notes of jasmine show up on the midpalate leading to a slight astringent bitterness. In the end, fruit tones prevail and linger on a moderate finish.","Cellar Select",88,25,"Texas","Texas","","Alexander Peartree","","Brennan 2015 Cellar Select Viognier (Texas)","Viognier","Brennan"
56330,"US","This Tempranillo is dark and dense, but not loud, with blackberry reduction, herbal stems and mint scents. The palate is rich and round, with grippy tannins, yet there's a lag on the midpalate. Sweet spice notes linger on the finish.","Bingham Reserve",86,40,"Texas","Texas","","Alexander Peartree","","Pedernales 2013 Bingham Reserve Tempranillo (Texas)","Tempranillo","Pedernales"
65154,"US","Pineapple rind, steely lemon and white flowers carry the notes of this blend of Roussanne, Chardonnay and Viognier. The palate is broad and buttery in feel, with a string of acids that cut the finish short.","1836",85,20,"Texas","Texas","","Alexander Peartree","","Llano Estacado 2014 1836 White (Texas)","White Blend","Llano Estacado"
65167,"US","Gamy and mildly concentrated, this Tempranillo from the Hill Country brings to mind pork fat and peppercorns on the nose. The soft palate brings more fruit, with juicy red berries giving lift to additional notes of game and spice.","",85,40,"Texas","","","Alexander Peartree","","Spicewood 2014 Tempranillo","Tempranillo","Spicewood"
65843,"US","Muddled peach, apricot and vanilla cream carry the nose, while the palate is a bit more savory in character, with almond notes pervading over lilting flowers and tart apricot. There's a nice roundness to the palate and proper acidity to match. A Fuzzy white-tea tannin texture carries the nutty finish.","Reserve",86,30,"Texas","Texas","","Alexander Peartree","","Pedernales 2015 Reserve Viognier (Texas)","Viognier","Pedernales"
66071,"US","Punchy raspberry and strawberry aromas mingle with darker shades of blueberry, with tarragon and anise in the background. Soft and silken on the palate, the flavors mimic the nose, supported by a gentle dusting of tannins. This is a perfect light-bodied summer red, great alongside grilled fare.","",87,24,"Texas","Texas High Plains","","Alexander Peartree","","Spicewood 2014 Mourvèdre (Texas High Plains)","Mourvèdre","Spicewood"
67030,"US","This blend of Tempranillo, Mourvédre and Cinsault yields a rosé that melds red fruit and herbal tones: strawberry hull, white pepper and fresh tarragon mark the aromas, with pink grapefruit and chalk adding additional verve to the medium-bodied palate. While slightly hot on the finish, this is still quite enjoyable as an apéritif.","Jolie",87,20,"Texas","Texas","","Alexander Peartree","","Becker 2015 Jolie Rosé (Texas)","Rosé","Becker"
67053,"US","There's a density to this Tempranillo that teeters the line of being almost too rich. The nose is all about stewed red and black berries, with cedar, anise and warm vanilla. The palate is almost thick in feel, yet maintains balance with crunchy red berries and fresh herbs lightening it up.","Reserve",87,25,"Texas","Texas","","Alexander Peartree","","Becker 2013 Reserve Tempranillo (Texas)","Tempranillo","Becker"
70342,"US","Charred caramel drizzled over pineapple rind show mildly on the nose. The palate is medium in weight, with a muddling of lemon and tart peach. This Viognier is crisp and to the point.","",83,17,"Texas","Texas","","Alexander Peartree","","Pedernales 2015 Viognier (Texas)","Viognier","Pedernales"
70349,"US","Juicy Fruit gum and citrus blossom meet a chemical plastic note on the nose. The palate is light in weight, with sharp acids carrying along the peach juice and lemon flavors.","Mont Sec Vineyard",83,14,"Texas","Texas","","Alexander Peartree","","Llano Estacado 2015 Mont Sec Vineyard Viognier (Texas)","Viognier","Llano Estacado"
70350,"US","Heady floral aromas of rose and lychee overtake the nose and palate. It's rich in weight, with very little acid to maintain balance.","Diamante Doble Vineyards",83,23,"Texas","Texas High Plains","","Alexander Peartree","","Los Pinos Ranch 2015 Diamante Doble Vineyards Viognier (Texas High Plains)","Viognier","Los Pinos Ranch"
71258,"US","Waxy crayon, petrol and steely lemon aromas mark the closed bouquet. The palate shows some decent weight, yet disparate acids give a sharp feeling. Citrus races from start to finish, with a slight char marking the close.","Riven Rock Vineyard",84,34,"Texas","","","Alexander Peartree","","Bending Branch 2014 Riven Rock Vineyard Viognier","Viognier","Bending Branch"
71263,"US","Canned lychee and lemongrass feels a bit thick and heavy on the nose. The palate follows suit and is medium in weight, yet lags a little in acidic verve.","Blanco Grande Estate Grown",84,21,"Texas","Texas","","Alexander Peartree","","Los Pinos Ranch 2014 Blanco Grande Estate Grown Blanc du Bois (Texas)","Blanc du Bois","Los Pinos Ranch"
71264,"US","Overripe berries take on an almost compote character, giving a saucy depth to the nose. The palate follows suit, remaining heavy in feel and slightly charred on the finish.","Red Roan",84,25,"Texas","Texas High Plains","","Alexander Peartree","","Lost Oak 2014 Red Roan Red (Texas High Plains)","Red Blend","Lost Oak"
74502,"US","Cranberry, vanilla and barnyard aromas pervade on the nose. The palate is gentle and well balanced by notes of forest floor and cedar, while the structured tannins complement the tart cranberry and blackberry. Fruit tones and cedar linger on the long finish.","Viviano",89,35,"Texas","Texas","","Fiona Adams","@bkfiona","Llano Estacado 2014 Viviano Cabernet Sauvignon-Sangiovese (Texas)","Cabernet Sauvignon-Sangiovese","Llano Estacado"
75799,"US","Tobacco leaf, black currant and cinnamon color the nose of this Merlot. Suggestions of black fruits are buried by oak flavors of cigar box, vanilla, cinnamon and tobacco on the palate. Intensely tannic, the wine finishes with a strong cigar box flavor.","Estate Reserve",87,80,"Texas","","","Fiona Adams","@bkfiona","Becker 2012 Estate Reserve Merlot","Merlot","Becker"
77216,"US","This red blend is a bit confected on the nose, with vanilla cookie, condensed berries and molasses notes pervading. The palate is rich and flabby, with similar flavors as the nose and bitter tannins on the finish.","Salt Lick Vineyards",82,45,"Texas","","","Alexander Peartree","","Fall Creek 2014 Salt Lick Vineyards G-S-M","G-S-M","Fall Creek"
77217,"US","A layer of oak dust rides over sharp lemon and pineapple on the nose and palate. This is sharp, citric and zippy.","Private Reserve",81,20,"Texas","Texas","","Alexander Peartree","","Messina Hof 2015 Private Reserve Viognier (Texas)","Viognier","Messina Hof"
77225,"US","Generic red berry flavors turn bitter and astringent, while a chemical plastic note marks the final blow.","Grenache",81,22,"Texas","","","Alexander Peartree","","Fall Creek 2015 Grenache Rosé","Rosé","Fall Creek"
77226,"US","Bland citrus and a yeasty note seem out of character for a normally very aromatic varietal. This wine is light, supersimple and drinks like water.","Bingham Family Vineyard",80,21,"Texas","Texas High Plains","","Alexander Peartree","","Lost Oak 2015 Bingham Family Vineyard Viognier (Texas High Plains)","Viognier","Lost Oak"
79695,"US","Faint citrus and wilted floral aromas carry through to the one-note lemon palate. Crisp and simple is the name of the game for this unoaked Chardonnay.","",82,20,"Texas","Texas","","Alexander Peartree","","Fall Creek 2014 Chardonnay (Texas)","Chardonnay","Fall Creek"
79706,"US","High-toned aromas of black cherry syrup and orange peel carry the nose. The thick, syrupy palate lacks much acidity and is reminiscent of flat Dr. Pepper, yet a roasted coffee tone is welcomed on the finish.","Light Madeira",82,40,"Texas","Texas","","Alexander Peartree","","Haak 2009 Light Madeira Jacquez (Texas)","Jacquez","Haak"
79713,"US","Pollen and wilted-flower tones are mild on the nose. Watery lychee and peach flavors are the markers for the flabby, sugary palate.","Side Saddle",80,20,"Texas","Texas","","Alexander Peartree","","Fiesta Winery NV Side Saddle White (Texas)","White Blend","Fiesta Winery"
79715,"US","SweeTART candies and green Jolly Rancher aromas are like a punch in the face. Green apple-cider flavors carry the flabby, sweet palate.","Skinny Dippin",80,16,"Texas","Texas","","Alexander Peartree","","Fiesta Winery NV Skinny Dippin White (Texas)","White Blend","Fiesta Winery"
82932,"US","A blend of Mourvèdre, Grenache, Syrah and Viognier, this brings to mind tight red and black berries spread over freshly tilled earth. A mild peppery spice shows up on the midpalate, with soft tannins supporting throughout.","Prairie Rotie",86,25,"Texas","","","Alexander Peartree","","Becker 2014 Prairie Rotie Red","Rhône-style Red Blend","Becker"
82933,"US","Peach and lilac aromas and bright and integrated, carrying to a bubble-gum infused palate. Short, simple and perfectly delightful.","Dry",86,20,"Texas","Texas","","Alexander Peartree","","Brennan 2015 Dry Rosé (Texas)","Rosé","Brennan"
82940,"US","A delicate balance of geranium, peach blossom and ginger cookie shows on the nose and palate, with an additional herbal hop notes chiming in for the flavors. There's good acidic verve to counterattack the broad palate, making this rich white a solid choice for cedar-plank grilled fish.","",86,18,"Texas","Texas","","Alexander Peartree","","Brennan 2015 Viognier (Texas)","Viognier","Brennan"
83297,"US","Red cherry and currant mix with sweet sawdust and anise-spiced gum on the nose. Medium-bodied, with a plush feel, juicy red fruit flavors pervade on the palate. Light tannins make this an easy sipper—enjoy alone or with lighter proteins.","Reserve",86,32,"Texas","Texas","","Alexander Peartree","","Brennan 2013 Reserve Tempranillo (Texas)","Tempranillo","Brennan"
83596,"US","Condensed dark cherry and plum meet some savory elements on the nose. Silky on entry, with prickling acidity, the medium-bodied palate boasts juicy black-fruit flavors and red-currant acidity. There's enough tannic structure and fruit here to pair alongside hearty grilled fare.","",87,26,"Texas","Texas","","Alexander Peartree","","Brennan 2013 Tempranillo (Texas)","Tempranillo","Brennan"
83602,"US","This medium-tawny wine made from Jacquez offers aromas of dried fig and salty maple-drizzled bacon. The silky, full palate follows suit, with toasted nuts adding an additional savory character. Enjoy this nicely balanced wine alongside pecan pie.","Madeira",87,40,"Texas","Texas","","Alexander Peartree","","Haak 2011 Madeira Jacquez (Texas)","Jacquez","Haak"
87869,"US","This blend of Tempranillo, Merlot, Cabernet Sauvignon, Graciano and Syrah is concentrated in currant and blackberry, with accents of smoked meat and anise. While light in tannins, there's good grip and structure, with additional spice notes of anise and herbal spice.","The Good Guy",88,40,"Texas","","","Alexander Peartree","","Spicewood 2013 The Good Guy Red","Red Blend","Spicewood"
96835,"US","Confected and slightly artificial, there's a thick aroma of canned pineapple syrup and rose petals on the nose, which feels a bit off balance from the much less-intense palate. Bright canned fruit lingers on the finish.","Lost Draw Vineyards",85,19,"Texas","Texas High Plains","","Alexander Peartree","","Los Pinos Ranch 2015 Lost Draw Vineyards Vermentino (Texas High Plains)","Vermentino","Los Pinos Ranch"
96844,"US","Mild tones of pollen, lemon, vanilla cream and sawdust carry the aromas and flavors. The palate is round and juicy, with appropriate balance of weight and acidity, yet the finish comes short. Perfectly enjoyable as an apéritif.","Reserve",85,22,"Texas","Texas High Plains","","Alexander Peartree","","Becker 2014 Reserve Viognier (Texas High Plains)","Viognier","Becker"
97097,"US","This blend of 80% Merlot and 20% Cabernet Franc displays aromas of cherry, blueberry and bramble berries, backed by aromas of vanilla, nutmeg and cinnamon. The palate is medium bodied with supportive tannins and shows flavors of red berries and baking spices. Leather and cedar carry to the finish joined by a swath of acidity.","Chevaux Noir",88,40,"Texas","Texas High Plains","","Fiona Adams","@bkfiona","Becker 2014 Chevaux Noir Cabernet Franc-Merlot (Texas High Plains)","Cabernet Franc-Merlot","Becker"
99198,"US","Aromas of cassis, dried cranberry and black cherry are backed by tobacco and a kick of licorice. The palate is ripe in raspberry, blueberry and black cherry, showing whispers of leather and white pepper. The tannins add balance, mellowing some of the ripeness. Currant and vanilla show on the medium-length finish.","Private Reserve Double Barrel",88,30,"Texas","Texas High Plains","","Fiona Adams","@bkfiona","Messina Hof 2015 Private Reserve Double Barrel Malbec (Texas High Plains)","Malbec","Messina Hof"
99909,"US","Restrained on the nose, this is slow to reveal notes of spice cake, clove liqueur and waxy raisin. The tannins lend the palate grip, but it finishes short on flavor, with the structural elements most prominent.","Private Reserve Double Barrel Bell Brothers-Merrill's Vineyard",82,22,"Texas","Texas","","","","Messina Hof 2009 Private Reserve Double Barrel Bell Brothers-Merrill's Vineyard Zinfandel (Texas)","Zinfandel","Messina Hof"
99920,"US","Classic late-harvest Riesling with opening notes of peach and stone fruit. The sweet but racy palate is home to nectarine and white flowers shot through with a streak of acidity. Not overly generous but a good reflection of the category. Great for after-dinner sipping. May improve with a few years' age but drinking well now.","Angel Late Harvest",84,20,"Texas","Texas","","","","Messina Hof 2008 Angel Late Harvest Riesling (Texas)","Riesling","Messina Hof"
102674,"US","Craisin and geranium aromas mark the nose of this Texas Syrah. The medium-bodied palate brings more floral tones, soapy in nature, with soft tannins giving little support.","",83,24,"Texas","Texoma","","Alexander Peartree","","Arché 2012 Syrah (Texoma)","Syrah","Arché"
103505,"US","Red cherry and currant mix with sweet sawdust and anise-spiced gum on the nose. Medium-bodied, with a plush feel, juicy red fruit flavors pervade on the palate. Light tannins make this an easy sipper—enjoy alone or with lighter proteins.","Reserve",86,32,"Texas","Texas","","Alexander Peartree","","Brennan 2013 Reserve Tempranillo (Texas)","Tempranillo","Brennan"
103516,"US","This bottling of an American hybrid grape demonstrates a floral side of the variety, with potpourri aromas riding over lychee and grapefruit. Green apple-skin flavors mark the light-bodied palate while sprtizy acidity keeps everything energized.","Dry",86,19,"Texas","Texas","","Alexander Peartree","","Haak 2013 Dry Blanc du Bois (Texas)","Blanc du Bois","Haak"
106001,"US","Serious and solid, this Cab Franc delivers the goods with a complex nose of vanilla, coconut and orange clove pomanders layered over coffee and bittersweet chocolate. There's nice fruit in the mouth, with plum and blackberry shot through with notes of cinnamon. Medium, oaky finish. Serve with roast beef. Best 2011–2012.","Double Barrel",87,14,"Texas","Texas","","","","Messina Hof 2007 Double Barrel Cabernet Franc (Texas)","Cabernet Franc","Messina Hof"
107519,"US","Aromas and flavors of blackberry, pomegranate, leather and cedar are warmed by baking spice and bitter chocolate on the palate. The tannins are firm and lend plenty of structure. Cedar and tobacco prevail on the finish, with a touch of warmth.","Reserve",86,25,"Texas","Texas","","Fiona Adams","@bkfiona","Becker 2012 Reserve Cabernet Sauvignon (Texas)","Cabernet Sauvignon","Becker"
108138,"US","Deep and dark smelling, this has aromas of Mission fig, black fruit compote and spiced pastry. It's a heavyweight effort with a dense texture, but the acidity saves it from feeling ponderous. An overripe flavor of sun-dried fruit dominates the flavor profile, concluding with a touch of Bourbon barrel on the medium-long finish.","Private Reserve Double Barrel Cerro Santo Vineyard",85,22,"Texas","Texas","","","","Messina Hof 2010 Private Reserve Double Barrel Cerro Santo Vineyard Primitivo (Texas)","Primitivo","Messina Hof"
108180,"US","A veneer of new wood overlays the aromas of smoke, spiced blueberry, blackberry and olive. Well-proportioned acids and tannins give shape to this medium- to full-bodied effort, which concludes with a seemingly long, clingy finish.","Private Reserve Double Barrel Cedar Crest Vineyard",86,22,"Texas","Texas","","","","Messina Hof 2009 Private Reserve Double Barrel Cedar Crest Vineyard Cabernet Franc (Texas)","Cabernet Franc","Messina Hof"
108853,"US","Pollen, candle wax, citrus cream and blanched almonds mark the nose of this single variety white. The rich, broad palate carries notes of charred pineapple and toasted meringue, balanced by a lively river of citrus. This is a perfect white to enjoy when there's a slight chill in the air.","",87,24,"Texas","Texas High Plains","","Alexander Peartree","","Arché 2012 Roussanne (Texas High Plains)","Roussanne","Arché"
108961,"US","A mix of dark fruit and warm spice carries the medium-bodied palate. Soft tannins give an easy nature to this wine and the vanilla-cookie finish doesn't hurt either.","Bingham Family Vineyard",85,26,"Texas","Texas High Plains","","Alexander Peartree","","Lost Oak 2014 Bingham Family Vineyard Tempranillo (Texas High Plains)","Tempranillo","Lost Oak"
108963,"US","There's a solid grip to this blend of 54% Aglianico, 21% Montepulciano, 14% Tempranillo and 11% Barbera. Bramble berries and earthy geraniums give this medium-bodied red some interest.","Stampede",85,20,"Texas","Texas High Plains","","Alexander Peartree","","THP 2013 Stampede Red (Texas High Plains)","Red Blend","THP"
